BILL DATE,no. of BILL NUMBER,BILL NUMBERS,DISC.AMT,CASH SALES,CR.SALES,TOTAL SALES,month
02/05/23,9,410-418,302.64,3618.0,0.0,3618.0,may23
03/05/23,5,419-423,625.97,6475.0,0.0,6475.0,may23
04/05/23,9,424-432,45.31,1216.0,0.0,1216.0,may23
05/05/23,9,433-441,434.44,4405.0,0.0,4405.0,may23
06/05/23,4,442-445,86.49,1188.0,0.0,1188.0,may23
07/05/23,4,446-449,,370.0,0.0,370.0,may23
08/05/23,24,450-473,843.72,11580.0,0.0,11580.0,may23
09/05/23,21,474-494,796.74,9858.0,0.0,9858.0,may23
10/05/23,13,495-507,358.89,5795.0,0.0,5795.0,may23
11/05/23,20,508-527,233.04,6243.0,0.0,6243.0,may23
12/05/23,20,528-547,494.55,9225.0,0.0,9225.0,may23
15/05/23,29,548-576,510.22,8538.0,0.0,8538.0,may23
16/05/23,15,577-591,722.88,8642.0,0.0,8642.0,may23
17/05/23,9,592-600,317.1,3914.0,0.0,3914.0,may23
18/05/23,14,601-614,607.76,7973.0,0.0,7973.0,may23
19/05/23,16,615-630,352.86,5828.0,0.0,5828.0,may23
20/05/23,21,631-651,559.82,6844.0,0.0,6844.0,may23
22/05/23,21,652-672,709.32,10249.0,0.0,10249.0,may23
23/05/23,17,673-689,488.8,7522.0,0.0,7522.0,may23
24/05/23,19,690-708,359.18,5725.0,0.0,5725.0,may23
25/05/23,11,709-719,221.49,4747.0,0.0,4747.0,may23
26/05/23,19,720-738,246.58,5920.0,0.0,5920.0,may23
27/05/23,22,739-760,158.04,6243.0,0.0,6243.0,may23
29/05/23,17,761-777,653.22,7105.0,0.0,7105.0,may23
30/05/23,8,778-785,90.25,3534.0,0.0,3534.0,may23
31/05/23,15,786-800,65.12,2794.0,0.0,2794.0,may23
01/11/23,29,3141-3169,1334.24,18173.0,0.0,18173.0,nov23
02/11/23,33,3170-3202,765.86,16411.0,0.0,16411.0,nov23
03/11/23,28,3203-3230,911.91,15117.0,0.0,15117.0,nov23
04/11/23,28,3231-3258,422.73,9597.0,0.0,9597.0,nov23
06/11/23,26,3259-3284,858.02,12822.0,0.0,12822.0,nov23
07/11/23,22,3285-3306,728.02,10824.0,0.0,10824.0,nov23
08/11/23,23,3307-3329,397.03,7583.0,0.0,7583.0,nov23
09/11/23,9,3330-3338,273.44,3098.0,0.0,3098.0,nov23
10/11/23,12,3339-3350,452.01,5786.0,0.0,5786.0,nov23
11/11/23,7,3351-3357,101.52,1598.0,0.0,1598.0,nov23
13/11/23,25,3358-3382,185.8,7638.0,0.0,7638.0,nov23
14/11/23,17,3383-3399,,3833.0,0.0,3833.0,nov23
15/11/23,10,3400-3409,,3766.0,0.0,3766.0,nov23
17/11/23,6,3410-3415,30.42,3325.0,0.0,3325.0,nov23
20/11/23,86,3416-3501,1469.87,36465.0,0.0,36465.0,nov23
21/11/23,26,3502-3527,325.71,10596.0,0.0,10596.0,nov23
22/11/23,33,3528-3560,190.81,9196.0,0.0,9196.0,nov23
23/11/23,21,3561-3581,418.69,8606.0,0.0,8606.0,nov23
24/11/23,18,3582-3599,676.71,14696.0,0.0,14696.0,nov23
25/11/23,24,3600-3623,174.01,8436.0,0.0,8436.0,nov23
26/11/23,1,3624-3624,131.4,1183.0,0.0,1183.0,nov23
27/11/23,32,3625-3656,613.86,15181.0,0.0,15181.0,nov23
28/11/23,13,3657-3669,,3762.0,0.0,3762.0,nov23
29/11/23,30,3670-3699,117.55,8255.0,0.0,8255.0,nov23
30/11/23,23,3700-3722,166.25,6200.0,0.0,6200.0,nov23
02/10/23,13,2574-2586,21.57,1941.0,0.0,1941.0,oct23
03/10/23,21,2587-2607,673.4,9982.0,0.0,9982.0,oct23
04/10/23,16,2608-2623,1199.68,14433.0,0.0,14433.0,oct23
05/10/23,31,2624-2654,1100.9,14186.0,0.0,14186.0,oct23
06/10/23,25,2655-2679,417.29,7387.0,0.0,7387.0,oct23
07/10/23,6,2680-2685,461.04,4558.0,0.0,4558.0,oct23
09/10/23,32,2686-2717,629.3,11413.0,0.0,11413.0,oct23
10/10/23,22,2718-2739,540.1,10500.0,0.0,10500.0,oct23
11/10/23,16,2740-2755,28.47,4100.0,0.0,4100.0,oct23
12/10/23,27,2756-2782,171.38,7738.0,0.0,7738.0,oct23
13/10/23,9,2783-2791,,2693.0,0.0,2693.0,oct23
14/10/23,15,2792-2806,62.35,3430.0,0.0,3430.0,oct23
17/10/23,44,2807-2850,623.77,20521.0,0.0,20521.0,oct23
18/10/23,26,2851-2876,413.14,9130.0,0.0,9130.0,oct23
19/10/23,26,2877-2902,1036.02,15885.0,0.0,15885.0,oct23
20/10/23,23,2903-2925,490.43,8486.0,0.0,8486.0,oct23
21/10/23,23,2926-2948,493.43,8831.0,0.0,8831.0,oct23
23/10/23,10,2949-2958,81.52,2561.0,0.0,2561.0,oct23
24/10/23,19,2959-2977,228.92,5322.0,0.0,5322.0,oct23
25/10/23,36,2978-3013,318.49,9586.0,0.0,9586.0,oct23
26/10/23,26,3014-3039,398.92,8743.0,0.0,8743.0,oct23
27/10/23,27,3040-3066,325.21,6855.0,0.0,6855.0,oct23
28/10/23,27,3067-3093,384.5,7903.0,0.0,7903.0,oct23
30/10/23,25,3094-3118,35.28,6018.0,0.0,6018.0,oct23
31/10/23,22,3119-3140,299.71,6464.0,0.0,6464.0,oct23
01/09/23,15,2086-2100,71.9,7714.0,0.0,7714.0,sep23
02/09/23,20,2101-2120,1161.16,14440.0,0.0,14440.0,sep23
04/09/23,28,2121-2148,1123.74,16208.0,0.0,16208.0,sep23
05/09/23,21,2149-2169,1326.49,13867.0,0.0,13867.0,sep23
